Site,Date,Depth(cm),Sample#,H2O_by_wet(%),H2O_by_dry(%)
LUTZ *,4/12/2012,0-10,4,31.1,45.2
LUTZ *,4/12/2012,0-10,5,34.4,52.5
LUTZ *,4/12/2012,0-10,6,35.7,55.5
LUTZ *,4/12/2012,0-10,7,30.6,44.2
LUTZ *,4/12/2012,0-10,8,33.7,50.9
LUTZ *,4/12/2012,0-10,9,28.8,40.5
LUTZ *,4/12/2012,0-10,10,26.3,35.7
LUTZ *,4/12/2012,30-40,1,33.4,50.1
LUTZ *,4/12/2012,30-40,2,30,42.8
LUTZ *,4/12/2012,30-40,3,34.5,52.8
LUTZ *,4/12/2012,30-40,4,27.2,37.4
LUTZ *,4/12/2012,30-40,5,33.7,50.9
LUTZ *,4/12/2012,30-40,6,37.4,59.8
LUTZ *,4/12/2012,30-40,7,30.7,44.2
LUTZ *,4/12/2012,30-40,8,18.3,22.4
LUTZ *,4/12/2012,30-40,9,28.8,40.4
LUTZ *,4/12/2012,30-40,10,27.2,37.3
LUTZ *,4/20/2012,0-10,1,36.3,57
LUTZ *,4/20/2012,0-10,2,35.7,55.5
LUTZ *,4/20/2012,0-10,3,41,69.5
LUTZ *,4/20/2012,0-10,4,37.9,61.1
LUTZ *,4/20/2012,0-10,5,39.2,64.4
LUTZ *,4/20/2012,0-10,6,38.9,63.8
LUTZ *,4/20/2012,0-10,7,35.1,54
LUTZ *,4/20/2012,0-10,8,41.3,70.2
LUTZ *,4/20/2012,0-10,9,30.3,43.5
LUTZ *,4/20/2012,0-10,10,30.3,43.4
LUTZ *,4/20/2012,30-40,1,36.2,56.6
LUTZ *,4/20/2012,30-40,2,33.7,50.8
LUTZ *,4/20/2012,30-40,3,38.9,63.6
LUTZ *,4/20/2012,30-40,4,36.7,57.9
LUTZ *,4/20/2012,30-40,5,39.6,65.6
LUTZ *,4/20/2012,30-40,6,44.8,81.1
LUTZ *,4/20/2012,30-40,7,33.2,49.7
LUTZ *,4/20/2012,30-40,8,27.6,38.2
LUTZ *,4/20/2012,30-40,9,34.3,52.2
LUTZ *,4/20/2012,30-40,10,31.1,45
LUTZ *,4/26/2012,0-10,1,38.7,63.1
LUTZ *,4/26/2012,0-10,2,36.5,57.6
LUTZ *,4/26/2012,0-10,3,40.2,67.4
LUTZ *,4/26/2012,0-10,4,38.2,61.8
LUTZ *,4/26/2012,0-10,5,37.3,59.5
LUTZ *,4/26/2012,0-10,6,43.6,77.2
LUTZ *,4/26/2012,0-10,7,37.5,60.1
LUTZ *,4/26/2012,0-10,8,44.2,79.3
LUTZ *,4/26/2012,0-10,9,30.5,43.9
LUTZ *,4/26/2012,0-10,10,32.1,47.2
LUTZ *,4/26/2012,30-40,1,38.1,61.6
LUTZ *,4/26/2012,30-40,2,36.3,57
LUTZ *,4/26/2012,30-40,3,39.3,64.8
LUTZ *,4/26/2012,30-40,4,35.1,54.1
LUTZ *,4/26/2012,30-40,5,36.9,58.5
LUTZ *,4/26/2012,30-40,6,43.6,77.2
LUTZ *,4/26/2012,30-40,7,36.5,57.5
LUTZ *,4/26/2012,30-40,8,32.5,48.2
LUTZ *,4/26/2012,30-40,9,32.4,48
LUTZ *,4/26/2012,30-40,10,30.6,44.1
LUTZ *,5/10/2012,0-10,1,37.7,60.6
LUTZ *,5/10/2012,0-10,2,35.9,55.9
LUTZ *,5/10/2012,0-10,3,39.7,65.7
LUTZ *,5/10/2012,0-10,4,41.5,70.9
LUTZ *,5/10/2012,0-10,5,40.1,66.9
LUTZ *,5/10/2012,0-10,6,38.2,61.9
LUTZ *,5/10/2012,0-10,7,38.1,61.6
LUTZ *,5/10/2012,0-10,8,43.8,78
LUTZ *,5/10/2012,0-10,9,31.4,45.8
LUTZ *,5/10/2012,0-10,10,34.1,51.7
LUTZ *,5/10/2012,30-40,1,35.1,54.1
LUTZ *,5/10/2012,30-40,2,34.2,52
LUTZ *,5/10/2012,30-40,3,38.6,62.8
LUTZ *,5/10/2012,30-40,4,31.9,46.8
LUTZ *,5/10/2012,30-40,5,34.5,52.6
LUTZ *,5/10/2012,30-40,6,39.5,65.3
LUTZ *,5/10/2012,30-40,7,33.1,49.5
LUTZ *,5/10/2012,30-40,8,28.3,39.4
LUTZ *,5/10/2012,30-40,9,33.3,50
